char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
http://www.wikidata.org/entity/Q79037,Spider-Man,Peter Benjamin Parker,"mutate, comics character","Earth-616, Marvel Universe",,superhuman agility / reflexes,,,,
http://www.wikidata.org/entity/Q3613591,Amanda Sefton,Jimaine Szardos,"witch in a work of fiction, animated character, comics character","Earth-616, Marvel Universe",,"teleportation, shapeshifting",,,,
http://www.wikidata.org/entity/Q2092660,Spider-Man 2099,Miguel O'Hara,"fictional vigilante, fictional king, animated character, mutate, comics character",Marvel Universe,,"superhuman speed, superhuman strength, healing factor, superhuman senses, superhuman agility / reflexes",,,,
http://www.wikidata.org/entity/Q734861,Valeria Richards,Valeria Meghan Richards,"fictional human, comics character","Earth-616, Marvel Universe",,"energy manipulation, invisible person, teleportation, force field, time travel",,,,
http://www.wikidata.org/entity/Q912640,Black Cat,Felicia Hardy,"film character, animated character, mutate, comics character","Earth-616, Marvel Universe",,probability manipulation,,,,
http://www.wikidata.org/entity/Q1188309,Jessica Drew,Jessica Miriam Drew,"animated character, fictional human, mutate","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q1607791,Legion,David Charles Haller,"television character, animated character, mutant","Earth-616, Marvel Universe",,"reality warping, chronokinesis, pyrokinesis, shapeshifting, telekinesis, telepathy",,,,
http://www.wikidata.org/entity/Q48412444,Ultimate Magneto,Erik Lensherr,mutant,Marvel Universe,,magnetism manipulation,,,,
http://www.wikidata.org/entity/Q49262738,Ultimate Angel,Warren Worthington III,mutant,Marvel Universe,,flight,,,,
http://www.wikidata.org/entity/Q838076,Professor X,Charles Francis Xavier,"film character, animated character, mutant","Earth-616, Marvel Universe",,"memory manipulation, telepathy",,,,
http://www.wikidata.org/entity/Q5342183,Nightcrawler,Kurt Wagner,"film character, animated character, mutant","Earth-616, Marvel Universe",Bavaria,"superhuman agility / reflexes, teleportation",Catholicism,male,"priest, superhero, circus performer","X-Men, Excalibur, X-Treme Sanctions Executive"
